,Y,2019-12-03,530533,"VprBP protein, human","DCAF1 protein, human",T,767714,,530533,"DCAF1 protein, human","DCAF1 protein, human",P,767714,
,Y,2019-12-03,422542,"Kdelc1 protein, mouse","Kdelc1 protein, mouse",P,639054,,422542,"Poglut2 protein, mouse","Kdelc1 protein, mouse",T,639054,
,Y,2019-12-03,429541,"Chi3l3 protein, mouse","Chi3l3 protein, mouse",P,503622,,429541,"Chil3 protein, mouse","Chi3l3 protein, mouse",T,503622,
,Y,2019-12-03,423383,"H1foo protein, mouse","H1foo protein, mouse",P,722576,,423383,"H1f8 protein, mouse","H1foo protein, mouse",T,722576,
,Y,2019-12-03,558499,MLN1202,MLN1202,P,791576,,558499,plozalizumab,MLN1202,T,791576,
,Y,2019-12-03,569915,TB-403 monoclonal antibody,TB-403 monoclonal antibody,P,817739,,569915,TB-403,TB-403 monoclonal antibody,T,817739,
,L,2019-12-03,480122,Inotuzumab Ozogamicin,Inotuzumab Ozogamicin,P,634605,,80045,Inotuzumab Ozogamicin,Inotuzumab Ozogamicin,P,634605,
,L,2019-12-03,654632,inebilizumab,inebilizumab,P,995901,,609745,inebilizumab,inebilizumab,P,965859,
,Y,2019-12-03,16759,"C4 protein, mouse","C4 protein, mouse",P,575861,,16759,"C4b protein, mouse","C4 protein, mouse",T,575861,
,Y,2019-12-03,508321,"Agc1 protein, rat","Agc1 protein, rat",P,608022,,508321,"Acan protein, rat","Agc1 protein, rat",T,608022,
,Y,2019-12-03,607858,"AIDA-1 protein, rat","AIDA-1 protein, rat",P,901678,,607858,"Anks1b protein, rat","AIDA-1 protein, rat",T,901678,
,Y,2019-12-03,568769,"Amica1 protein, rat","Amica1 protein, rat",P,814733,,568769,"Jaml protein, rat","Amica1 protein, rat",T,814733,
,Y,2019-12-03,495993,"Aox3l1 protein, rat","Aox3l1 protein, rat",P,793955,,495993,"Aox2 protein, rat","Aox3l1 protein, rat",T,793955,
,Y,2019-12-03,627645,"Apela protein, rat","Apela protein, rat",P,944956,,627645,"LOC100912649 protein, rat","Apela protein, rat",T,944956,
,Y,2019-12-03,461539,"protein-arginine deiminase type II, rat","protein-arginine deiminase type II, rat",P,509082,,461539,"Padi2 protein, rat","protein-arginine deiminase type II, rat",T,509082,
,Y,2019-12-03,585492,"CTR2 protein, mouse","CTR2 protein, mouse",P,853051,,585492,"Slc31a2 protein, mouse","CTR2 protein, mouse",T,853051,
,Y,2019-12-03,590693,"Ctr2 protein, rat","Ctr2 protein, rat",P,864555,,590693,"Slc31a2 protein, rat","Ctr2 protein, rat",T,864555,
,Y,2019-12-03,504816,"MARCH6 protein, human","MARCH6 protein, human",P,699369,,504816,"MARCHF6 protein, human","MARCH6 protein, human",T,699369,
,Y,2019-12-03,502926,"MARCH2 protein, human","MARCH2 protein, human",P,660913,,502926,"MARCHF2 protein, human","MARCH2 protein, human",T,660913,
,Y,2019-12-03,521293,8-hydroxy-dGTP,8-hydroxy-dGTP,P,702447,,521293,8-hydroxy-2'-deoxyguanosine 5'-triphosphate,8-hydroxy-dGTP,T,702447,
,Y,2019-12-03,485812,"Caps protein, rat","Caps protein, rat",P,581872,,485812,"Cadps protein, rat","Caps protein, rat",T,581872,
,Y,2019-12-03,548249,"Car4 protein, rat","Car4 protein, rat",P,768300,,548249,"Ca4 protein, rat","Car4 protein, rat",T,768300,
,Y,2019-12-03,526285,"Car9 protein, rat","Car9 protein, rat",P,894002,,526285,"Ca9 protein, rat","Car9 protein, rat",T,894002,
,Y,2019-12-03,588924,"Carkd protein, rat","Carkd protein, rat",P,860718,,588924,"Naxd protein, rat","Carkd protein, rat",T,860718,
,Y,2019-12-03,486454,"Ctr1 protein, zebrafish","Ctr1 protein, zebrafish",P,589251,,486454,"Slc31a1 protein, zebrafish","Ctr1 protein, zebrafish",T,589251,
,Y,2019-12-03,491807,"Rad51l3 protein, mouse","Rad51l3 protein, mouse",P,334148,,491807,"Rad51d protein, mouse","Rad51l3 protein, mouse",T,334148,
,Y,2019-12-03,491843,"Rs1h protein, mouse","Rs1h protein, mouse",P,612367,,491843,"RS1 protein, mouse","Rs1h protein, mouse",T,612367,
,Y,2019-12-03,491850,"Cyr61 protein, mouse","Cyr61 protein, mouse",P,612383,,491850,"CCN1 protein, mouse","Cyr61 protein, mouse",T,612383,
,Y,2019-12-03,491978,"Sprr2j protein, mouse","Sprr2j protein, mouse",P,593301,,491978,"Sprr2j-ps protein, mouse","Sprr2j protein, mouse",T,593301,
,Y,2019-12-03,492053,"Krt1-15 protein, mouse","Krt1-15 protein, mouse",P,591959,,492053,"Krt15 protein, mouse","Krt1-15 protein, mouse",T,591959,
,Y,2019-12-03,492067,"Wisp1 protein, mouse","Wisp1 protein, mouse",P,317057,,492067,"CCN4 protein, mouse","Wisp1 protein, mouse",T,317057,
,Y,2019-12-03,492667,"Cyp2c44 protein, mouse","Cyp2c44 protein, mouse",P,615641,,492667,"Cyp2c23 protein, mouse","Cyp2c44 protein, mouse",T,615641,
,Y,2019-12-03,491209,"Mch1r protein, mouse","Mch1r protein, mouse",P,598462,,491209,"Mchr1 protein, mouse","Mch1r protein, mouse",T,598462,
,Y,2019-12-03,491673,"Il17r protein, mouse","Il17r protein, mouse",P,566720,,491673,"Il17ra protein, mouse","Il17r protein, mouse",T,566720,
,Y,2019-12-03,486113,"Hspb1 protein, mouse","Hspb1 protein, mouse",P,587041,,486113,"Hsbp1 protein, mouse","Hspb1 protein, mouse",T,587041,
,Y,2019-12-03,486293,"Foxf1a protein, mouse","Foxf1a protein, mouse",P,555348,,486293,"Foxf1 protein, mouse","Foxf1a protein, mouse",T,555348,
,Y,2019-12-03,486698,"Pvrl4 protein, mouse","Pvrl4 protein, mouse",P,565233,,486698,"nectin 4 protein, mouse","Pvrl4 protein, mouse",T,565233,
,Y,2019-12-03,486718,"Prima protein, mouse","Prima protein, mouse",P,565396,,486718,"prima1 protein, mouse","Prima protein, mouse",T,565396,
,Y,2019-12-03,509281,"Bace protein, rat","Bace protein, rat",P,642525,,509281,"Bace1 protein, rat","Bace protein, rat",T,642525,
,Y,2019-12-03,84531,"Aes protein, rat","Aes protein, rat",P,571192,,84531,"Tle5 protein, rat","Aes protein, rat",T,571192,
,Y,2019-12-03,524801,"Amy2 protein, rat","Amy2 protein, rat",P,710767,,524801,"Amy2a3 protein, rat","Amy2 protein, rat",T,710767,
,Y,2019-12-03,523120,"RALDH3 protein, rat","RALDH3 protein, rat",P,706736,,523120,"Aldh1a3 protein, rat","RALDH3 protein, rat",T,706736,
,Y,2019-12-03,431942,"Mki67ip protein, mouse","Mki67ip protein, mouse",P,564769,,431942,"NIFK protein, mouse","Mki67ip protein, mouse",T,564769,
,Y,2019-12-03,440904,"Hrb protein, mouse","Hrb protein, mouse",P,473254,,440904,"Agfg1 protein, mouse","Hrb protein, mouse",T,473254,
,Y,2019-12-03,630552,"NWC protein, mouse","NWC protein, mouse",P,954373,,630552,"B230118H07Rik protein, mouse","NWC protein, mouse",T,954373,
,Y,2019-12-03,630568,"fam84b protein, mouse","fam84b protein, mouse",P,954455,,630568,"Lratd2 protein, mouse","fam84b protein, mouse",T,954455,
,Y,2019-12-03,630724,"TP53INP2 protein, mouse","TP53INP2 protein, mouse",P,955405,,630724,"Trp53inp2 protein, mouse","TP53INP2 protein, mouse",T,955405,
,Y,2019-12-03,485760,"Ptpla protein, mouse","Ptpla protein, mouse",P,563427,,485760,"Hacd1 protein, mouse","Ptpla protein, mouse",T,563427,
,R,2019-12-03,587103,AMG 330,0,,,,587103,AMG 330,6Z4B5PJ4OP,,,
,R,2019-12-03,609083,ARRY-470,0,,,,609083,larotrectinib,PF9462I9HX,,,
,R,2019-12-03,592580,1-(2-(1H-benzo(d)imidazol-2-yl)-1-methylpiperidin-4-yl)-3-(4-cyanophenyl)urea,0,,,,592580,glasdegib,K673DMO5H9,,,
,R,2019-12-03,612089,BAN2401,0,,,,612089,BAN2401,12PYH0FTU9,,,
,R,2019-12-03,490974,"trio protein, Drosophila",0,,,,490974,"trio protein, Drosophila",EC 2.7.11.1,,,
,R,2019-12-03,484248,"UREB1 protein, human",0,,,,484248,"UREB1 protein, human",EC 2.3.2.27,,,
,R,2019-12-03,116196,"PPP1R11 protein, human",0,,,,116196,"PPP1R11 protein, human",EC 2.3.2.27,,,
,R,2019-12-03,484180,"Nrbf1 protein, rat",0,,,,484180,"Nrbf1 protein, rat",EC 1.-,,,
,R,2019-12-03,496269,cortexolone 17alpha-propionate,0,,,,496269,Clascoterone,XN7MM8XG2M,,,
,R,2019-12-03,610954,AZD9150,0,,,,610954,danvatirsen,31N550RD05,,,
,R,2019-12-03,575618,"4-amino-N-(1-(4-chlorophenyl)-3-hydroxypropyl)-1-(7H-pyrrolo(2,3-d)pyrimidin-4-yl)piperidine-4-carboxamide",0,,,,575618,capivasertib,WFR23M21IE,,,
,R,2019-12-03,624433,MEDI0382,0,,,,624433,cotadutide,QL6A9B13HW,,,
,R,2019-12-03,70368,"PRKCSH protein, human",0,,,,70368,"PRKCSH protein, human",EC 3.2.1.-,,,
,R,2019-12-03,624282,MM-302,0,,,,624282,gancotamab,S5Z216QNO6,,,
,R,2019-12-03,586200,PM060184,0,,,,586200,plocabulin,52Y8L60CR7,,,
,R,2019-12-03,621040,KAR5585,0,,,,621040,rodatristat,91D8378G2V,,,
,R,2019-12-03,625557,MIN-101,0,,,,625557,roluperidone,4P31I0M3BF,,,
,R,2019-12-03,553182,GMI-1070,0,,,,553182,rivipansel,4B115V09LB,,,
,R,2019-12-03,115113,"Hipk1 protein, mouse",EC 2.7.1.-,,,,115113,"Hipk1 protein, mouse",EC 2.7.11.1,,,
,R,2019-12-03,569915,TB-403 monoclonal antibody,0,,,,569915,TB-403,46MVG4H2LF,,,
,R,2019-12-03,512593,"PKS4 protein, Arabidopsis",0,,,,512593,"PKS4 protein, Arabidopsis",EC 2.7.11.1,,,
,R,2019-12-03,90293,"UreB1 protein, rat",0,,,,90293,"UreB1 protein, rat",EC 2.3.2.27,,,
,R,2019-12-03,557618,BHQ880,0,,,,557618,BHQ880,IS3ESI44W5,,,
,R,2019-12-03,561435,LDE225,0,,,,561435,sonidegib,0RLU3VTK5M,,,
,R,2019-12-03,460360,"IaaA protein, E coli",0,,,,460360,"IaaA protein, E coli",EC 3.4.-,,,
,R,2019-12-03,626257,Icrucumab,0,,,,626257,Icrucumab,T7H0B1R64U,,,
,R,2019-12-03,568345,Omegaven,XGF7L72M0F,,,,568345,fish oil triglycerides,0,,,
,R,2019-12-03,483578,"EatA protein, E coli",0,,,,483578,"EatA protein, E coli",EC 3.4.-,,,
,R,2019-12-03,505045,ST-246,0,,,,505045,Tecovirimat,F925RR824R,,,
,R,2019-12-03,581313,MEK162,0,,,,581313,binimetinib,181R97MR71,,,
,R,2019-12-03,589253,"2-amino-N-(7-methoxy-8-(3-morpholinopropoxy)-2,3-dihydroimidazo(1,2-c)quinazolin-4-yl)pyrimidine-5-carboxamide",0,,,,589253,copanlisib,WI6V529FZ9,,,
,R,2019-12-03,114052,"Ppp1r3b protein, rat",EC 3.1.3.-,,,,114052,"Ppp1r3b protein, rat",EC 3.1.3.16,,,
,R,2019-12-03,598580,AP26113,0,,,,598580,brigatinib,HYW8DB273J,,,
,R,2019-12-03,574276,GDC-0973,0,,,,574276,cobimetinib,ER29L26N1X,,,
,R,2019-12-03,423002,"Sval1 protein, mouse",0,,,,423002,"Sval1 protein, mouse",EC 3.4.23.-,,,
,R,2019-12-03,486034,"Sval1 protein, rat",0,,,,486034,"Sval1 protein, rat",EC 3.4.23.-,,,
,R,2019-12-03,423003,"Sval2 protein, mouse",0,,,,423003,"Sval2 protein, mouse",EC 3.4.23.-,,,
,R,2019-12-03,486035,"Sval2 protein, rat",0,,,,486035,"Sval2 protein, rat",EC 3.4.23.-,,,
,R,2019-12-03,103164,"MobB protein, Bacteroides",0,,,,103164,"MobB protein, Bacteroides",EC 2.7.7.-,,,
,R,2019-12-03,491864,"Ero1l protein, mouse",0,,,,491864,"Ero1l protein, mouse",EC 1.-,,,
,R,2019-12-03,485945,"Gyk protein, rat",0,,,,485945,"Gyk protein, rat",EC 2.7.1.30,,,
,R,2019-12-03,486301,"TAB1 protein, Xenopus",0,,,,486301,"TAB1 protein, Xenopus",EC 3.1.3.16,,,
,R,2019-12-03,550938,6'-(hydroxylethyl)-1-(haba)-sisomicin,0,,,,550938,plazomicin,LYO9XZ250J,,,
,R,2019-12-03,533238,1-(3-chloro-5-((4-(4-chloro-2-thienyl)-5-(4-cyclohexylpiperazin-1-yl)thiazol-2-yl)carbamoyl)-2-pyridyl)piperidine-4-carboxylic acid,0,,,,533238,avatrombopag,3H8GSZ4SQL,,,
,R,2019-12-03,597310,ZS-9 compound,0,,,,597310,sodium zirconium cyclosilicate,D652ZWF066,,,
,R,2019-12-03,603944,AR-13324,0,,,,603944,netarsudil,W6I5QDT7QI,,,
,R,2019-12-03,463963,"Rab11-FIP2 protein, human",0,,,,463963,"Rab11-FIP2 protein, human",EC 3.6.5.2,,,
,R,2019-12-03,605269,AG-221,0,,,,605269,enasidenib,3T1SS4E7AG,,,
,R,2019-12-03,487932,N-(4-(3-chloro-4-(2-pyridinylmethoxy)anilino)-3-cyano-7-ethoxy-6-quinolyl)-4-(dimethylamino)-2-butenamide,0,,,,487932,neratinib,JJH94R3PWB,,,
,R,2019-12-03,621725,telotristat ethyl,0,,,,621725,telotristat ethyl,8G388563M7,,,
,R,2019-12-03,426853,"SESN1 protein, Xenopus",0,,,,426853,"SESN1 protein, Xenopus",EC 1.11.1.-,,,
,R,2019-12-03,485962,"Pellino protein, C elegans",0,,,,485962,"Pellino protein, C elegans",EC 2.3.2.27,,,
,R,2019-12-03,113272,"NSD1 protein, human",0,,,,113272,"NSD1 protein, human",EC 2.1.1.43,,,
,R,2019-12-03,491972,"Mocs1 protein, mouse",0,,,,491972,"Mocs1 protein, mouse",EC 4.1.-,,,
,R,2019-12-03,404219,"Rnf19 protein, mouse",0,,,,404219,"Rnf19 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,486410,"Rnf4 protein, mouse",0,,,,486410,"Rnf4 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,435904,"Rnf41 protein, mouse",0,,,,435904,"Rnf41 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,542569,"Rpn14 protein, S cerevisiae",0,,,,542569,"Rpn14 protein, S cerevisiae",EC 3.4.25.1,,,
,R,2019-12-03,549534,"PSMB6 protein, Xenopus",0,,,,549534,"PSMB6 protein, Xenopus",EC 3.4.-,,,
,R,2019-12-03,558235,IPH 2101,0,,,,558235,IPH-2101,5Q686XLG8L,,,
,R,2019-12-03,629923,"Tent5a protein, Xenopus",0,,,,629923,"Tent5a protein, Xenopus",EC 2.7.7.19,,,
,R,2019-12-03,558499,MLN1202,0,,,,558499,plozalizumab,4XG66BMN0D,,,
,R,2019-12-03,491865,"AERO1 protein, Arabidopsis",0,,,,491865,"AERO1 protein, Arabidopsis",EC 1.8.-,,,
,R,2019-12-03,508359,"MMACHC protein, human",0,,,,508359,"MMACHC protein, human",EC 1.-,,,
,R,2019-12-03,622091,brolucizumab,0,,,,622091,brolucizumab,XSZ53G39H5,,,
,R,2019-12-03,581643,CNTO 888,0,,,,581643,carlumab,6TC1BB2EV9,,,
,R,2019-12-03,579557,TRC105,0,,,,579557,carotuximab,YB2EWE6139,,,
,R,2019-12-03,625155,ABT-308,0,,,,625155,cendakimab,O8R9U9ZUVN,,,
,R,2019-12-03,590786,"7-amino-12-fluoro-2,10,16-trimethyl-15-oxo-10,15,16,17-tetrahydro-2H-8,4-(metheno)pyrazolo(4,3-h)(2,5,11)benzoxadiazacyclotetradecine-3-carbonitrile",0,,,,590786,lorlatinib,OSP71S83EU,,,
,R,2019-12-03,525726,PF 00299804,0,,,,525726,dacomitinib,5092U85G58,,,
,R,2019-12-03,586691,IPI-145,0,,,,586691,duvelisib,610V23S0JI,,,
,R,2019-12-03,485451,"Trim17 protein, mouse",0,,,,485451,"Trim17 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,485452,"Trim17 protein, rat",0,,,,485452,"Trim17 protein, rat",EC 2.3.2.27,,,
,R,2019-12-03,489296,"Trim27 protein, mouse",0,,,,489296,"Trim27 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,482978,"Trim7 protein, mouse",0,,,,482978,"Trim7 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,469337,"Trim9 protein, mouse",0,,,,469337,"Trim9 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,498606,"Txnl2 protein, mouse",0,,,,498606,"Txnl2 protein, mouse",EC 1.8.4.2,,,
,R,2019-12-03,412480,"UBAC1 protein, human",0,,,,412480,"UBAC1 protein, human",EC 2.3.2.27,,,
,R,2019-12-03,122049,"DAPK2 protein, Xenopus",0,,,,122049,"DAPK2 protein, Xenopus",EC 2.7.11.1,,,
,R,2019-12-03,103646,"NPH1 protein, Arabidopsis",0,,,,103646,"NPH1 protein, Arabidopsis",EC 2.7.11.1,,,
,R,2019-12-03,484442,"Siah1a protein, mouse",0,,,,484442,"Siah1a protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,489778,"Cnot7 protein, mouse",0,,,,489778,"Cnot7 protein, mouse",EC 3.1.-,,,
,R,2019-12-03,545967,"WDR85 protein, human",0,,,,545967,"WDR85 protein, human",EC 3.1.1.-,,,
,R,2019-12-03,561544,"ACOD1 protein, human",0,,,,561544,"ACOD1 protein, human",EC 4.1.1.-,,,
,R,2019-12-03,604456,ABT-806,0,,,,604456,depatuxizumab,W984C353CG,,,
,R,2019-12-03,601324,MEDI-573,0,,,,601324,dusigitumab,0Z70DT5PRX,,,
,R,2019-12-03,619694,"LJM716 monoclonal antibody, human",0,,,,619694,elgemtumab,5F1CN52GFM,,,
,R,2019-12-03,571179,7-fluoro-9-pyrrolidinoacetamido-6-demethyl-6-deoxytetracycline,0,,,,571179,eravacycline,07896928ZC,,,
,R,2019-12-03,599789,LY2875358,0,,,,599789,emibetuzumab,MO4K3GDN1I,,,
,R,2019-12-03,632577,enfortumab vedotin,0,,,,632577,enfortumab vedotin,DLE8519RWM,,,
,R,2019-12-03,542276,MEDI-528,0,,,,542276,enokizumab,I4BE5F78HR,,,
,R,2019-12-03,600154,REGN421,0,,,,600154,enoticumab,B59DCD0F7D,,,
,R,2019-12-03,547393,AS 1402,0,,,,547393,epitumomab,3VD89OE565,,,
,R,2019-12-03,621590,evinacumab,0,,,,621590,evinacumab,T8B2ORP1DW,,,
,R,2019-12-03,475848,6B1 IgG4 monoclonal antibody,285985-06-0,,,,475848,Lerdelimumab,GX1FEU3QSM,,,
,R,2019-12-03,627840,MEDI-570,0,,,,627840,MEDI-570,G9F0G3YL28,,,
,R,2019-12-03,573120,MEDI3617,0,,,,573120,MEDI3617,6RH6DL8R4L,,,
,R,2019-12-03,611149,MEDI4212,0,,,,611149,MEDI4212,XK0D8BK5WY,,,
,R,2019-12-03,578283,"TMEM5 protein, human",0,,,,578283,"RXYLT1 protein, human",EC 2.4.2.-,,,
,R,2019-12-03,403282,"UBP10 protein, S cerevisiae",0,,,,403282,"UBP10 protein, S cerevisiae",EC 3.4.19.12,,,
,R,2019-12-03,117054,"Uhrf1 protein, mouse",0,,,,117054,"Uhrf1 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,571226,"VprBP protein, mouse",0,,,,571226,"VprBP protein, mouse",EC 2.7.11.1,,,
,R,2019-12-03,121021,"WSB1 protein, Fugu rubripes",0,,,,121021,"WSB1 protein, Fugu rubripes",EC 2.3.2.27,,,
,R,2019-12-03,482587,"TRIM5(alpha) protein, rhesus monkey",0,,,,482587,"TRIM5(alpha) protein, rhesus monkey",EC 2.3.2.27,,,
,R,2019-12-03,97155,"amylogenin protein, Zea mays",0,,,,97155,"amylogenin protein, Zea mays",EC 5.4.-,,,
,R,2019-12-03,599521,"anrukinzumab, human",0,,,,599521,anrukinzumab,OU46IGC49F,,,
,R,2019-12-03,621903,GS-5745,0,,,,621903,andecaliximab,571045EIM4,,,
,R,2019-12-03,582345,anifrolumab,0,,,,582345,anifrolumab,38RL9AE51Q,,,
,Y,2019-12-03,568269,"Accn3 protein, rat","Accn3 protein, rat",P,722136,,568269,"ASIC3 protein, rat","Accn3 protein, rat",T,722136,
,Y,2019-12-03,513263,"Mia1 protein, mouse","Mia1 protein, mouse",P,663029,,513263,"Mia protein, mouse","Mia1 protein, mouse",T,663029,
,Y,2019-12-03,532537,"SelS protein, mouse","SelS protein, mouse",P,950967,,532537,"Selenos protein, mouse","SelS protein, mouse",T,950967,
,Y,2019-12-03,530918,"Mp11 protein, mouse","Mp11 protein, mouse",P,724491,,530918,"Ncmap protein, mouse","Mp11 protein, mouse",T,724491,
,Y,2019-12-03,531939,"CLCA4 protein, mouse","CLCA4 protein, mouse",P,727852,,531939,"Clca3b protein, mouse","CLCA4 protein, mouse",T,727852,
,Y,2019-12-03,532569,"Arpm1 protein, mouse","Arpm1 protein, mouse",P,799990,,532569,"Actrt3 protein, mouse","Arpm1 protein, mouse",T,799990,
,Y,2019-12-03,532821,"Mtap9 protein, mouse","Mtap9 protein, mouse",P,800024,,532821,"Map9 protein, mouse","Mtap9 protein, mouse",T,800024,
,Y,2019-12-03,622443,PB2452,PB2452,P,958466,,622443,PB-2452,PB2452,T,958466,
,Y,2019-12-03,546989,"mtATP8 protein, mouse","mtATP8 protein, mouse",P,765558,,546989,"mt-Atp8 protein, mouse","mtATP8 protein, mouse",T,765558,
,Y,2019-12-03,534905,"1810011O10Rik protein, mouse","1810011O10Rik protein, mouse",P,865838,,534905,"Tcim protein, mouse","1810011O10Rik protein, mouse",T,865838,
,Y,2019-12-03,543854,"1700008F21Rik protein, mouse","1700008F21Rik protein, mouse",P,864200,,543854,"Ccdc7b protein, mouse","1700008F21Rik protein, mouse",T,864200,
,Y,2019-12-03,89462,"Aes protein, mouse","Aes protein, mouse",P,590907,,89462,"Tle5 protein, mouse","Aes protein, mouse",T,590907,
,Y,2019-12-03,95385,"Recc1 protein, mouse","Recc1 protein, mouse",P,573442,,95385,"Rfc1 protein, mouse","Recc1 protein, mouse",T,573442,
,Y,2019-12-03,107396,"Ufd1l protein, mouse","Ufd1l protein, mouse",P,606283,,107396,"Ufd1 protein, mouse","Ufd1l protein, mouse",T,606283,
,Y,2019-12-03,108200,"Hn1 protein, mouse","Hn1 protein, mouse",P,311184,,108200,"Jpt1 protein, mouse","Hn1 protein, mouse",T,311184,
,Y,2019-12-03,111169,"Akap2 protein, mouse","Akap2 protein, mouse",P,579580,,111169,"Pakap protein, mouse","Akap2 protein, mouse",T,579580,
,Y,2019-12-03,111417,"Mtvr2 protein, mouse","Mtvr2 protein, mouse",P,318531,,111417,"Fam89b protein, mouse","Mtvr2 protein, mouse",T,318531,
,Y,2019-12-03,97241,"Azi1 protein, mouse","Azi1 protein, mouse",P,560628,,97241,"Cep131 protein, mouse","Azi1 protein, mouse",T,560628,
,Y,2019-12-03,101136,"Casp11 protein, mouse","Casp11 protein, mouse",P,600328,,101136,"Casp4 protein, mouse","Casp11 protein, mouse",T,600328,
,Y,2019-12-03,111657,"D17H6S56E-3 protein, mouse","D17H6S56E-3 protein, mouse",P,319055,,111657,"Vwa7 protein, mouse","D17H6S56E-3 protein, mouse",T,319055,
,L,2019-12-03,480122,Inotuzumab Ozogamicin,Inotuzumab Ozogamicin,P,634605,,80045,Inotuzumab Ozogamicin,Inotuzumab Ozogamicin,P,634605,
,L,2019-12-03,654632,inebilizumab,inebilizumab,P,995901,,609745,inebilizumab,inebilizumab,P,965859,
,Y,2019-12-03,16759,"C4 protein, mouse","C4 protein, mouse",P,575861,,16759,"C4b protein, mouse","C4 protein, mouse",T,575861,
,Y,2019-12-03,508321,"Agc1 protein, rat","Agc1 protein, rat",P,608022,,508321,"Acan protein, rat","Agc1 protein, rat",T,608022,
,Y,2019-12-03,607858,"AIDA-1 protein, rat","AIDA-1 protein, rat",P,901678,,607858,"Anks1b protein, rat","AIDA-1 protein, rat",T,901678,
,Y,2019-12-03,568769,"Amica1 protein, rat","Amica1 protein, rat",P,814733,,568769,"Jaml protein, rat","Amica1 protein, rat",T,814733,
,Y,2019-12-03,495993,"Aox3l1 protein, rat","Aox3l1 protein, rat",P,793955,,495993,"Aox2 protein, rat","Aox3l1 protein, rat",T,793955,
,Y,2019-12-03,627645,"Apela protein, rat","Apela protein, rat",P,944956,,627645,"LOC100912649 protein, rat","Apela protein, rat",T,944956,
,Y,2019-12-03,461539,"protein-arginine deiminase type II, rat","protein-arginine deiminase type II, rat",P,509082,,461539,"Padi2 protein, rat","protein-arginine deiminase type II, rat",T,509082,
,Y,2019-12-03,585492,"CTR2 protein, mouse","CTR2 protein, mouse",P,853051,,585492,"Slc31a2 protein, mouse","CTR2 protein, mouse",T,853051,
,Y,2019-12-03,590693,"Ctr2 protein, rat","Ctr2 protein, rat",P,864555,,590693,"Slc31a2 protein, rat","Ctr2 protein, rat",T,864555,
,Y,2019-12-03,504816,"MARCH6 protein, human","MARCH6 protein, human",P,699369,,504816,"MARCHF6 protein, human","MARCH6 protein, human",T,699369,
,Y,2019-12-03,502926,"MARCH2 protein, human","MARCH2 protein, human",P,660913,,502926,"MARCHF2 protein, human","MARCH2 protein, human",T,660913,
,Y,2019-12-03,521293,8-hydroxy-dGTP,8-hydroxy-dGTP,P,702447,,521293,8-hydroxy-2'-deoxyguanosine 5'-triphosphate,8-hydroxy-dGTP,T,702447,
,Y,2019-12-03,485812,"Caps protein, rat","Caps protein, rat",P,581872,,485812,"Cadps protein, rat","Caps protein, rat",T,581872,
,Y,2019-12-03,548249,"Car4 protein, rat","Car4 protein, rat",P,768300,,548249,"Ca4 protein, rat","Car4 protein, rat",T,768300,
,Y,2019-12-03,526285,"Car9 protein, rat","Car9 protein, rat",P,894002,,526285,"Ca9 protein, rat","Car9 protein, rat",T,894002,
,Y,2019-12-03,588924,"Carkd protein, rat","Carkd protein, rat",P,860718,,588924,"Naxd protein, rat","Carkd protein, rat",T,860718,
,Y,2019-12-03,486454,"Ctr1 protein, zebrafish","Ctr1 protein, zebrafish",P,589251,,486454,"Slc31a1 protein, zebrafish","Ctr1 protein, zebrafish",T,589251,
,Y,2019-12-03,491807,"Rad51l3 protein, mouse","Rad51l3 protein, mouse",P,334148,,491807,"Rad51d protein, mouse","Rad51l3 protein, mouse",T,334148,
,Y,2019-12-03,491843,"Rs1h protein, mouse","Rs1h protein, mouse",P,612367,,491843,"RS1 protein, mouse","Rs1h protein, mouse",T,612367,
,Y,2019-12-03,491850,"Cyr61 protein, mouse","Cyr61 protein, mouse",P,612383,,491850,"CCN1 protein, mouse","Cyr61 protein, mouse",T,612383,
,Y,2019-12-03,491978,"Sprr2j protein, mouse","Sprr2j protein, mouse",P,593301,,491978,"Sprr2j-ps protein, mouse","Sprr2j protein, mouse",T,593301,
,Y,2019-12-03,492053,"Krt1-15 protein, mouse","Krt1-15 protein, mouse",P,591959,,492053,"Krt15 protein, mouse","Krt1-15 protein, mouse",T,591959,
,Y,2019-12-03,492067,"Wisp1 protein, mouse","Wisp1 protein, mouse",P,317057,,492067,"CCN4 protein, mouse","Wisp1 protein, mouse",T,317057,
,Y,2019-12-03,492667,"Cyp2c44 protein, mouse","Cyp2c44 protein, mouse",P,615641,,492667,"Cyp2c23 protein, mouse","Cyp2c44 protein, mouse",T,615641,
,Y,2019-12-03,491209,"Mch1r protein, mouse","Mch1r protein, mouse",P,598462,,491209,"Mchr1 protein, mouse","Mch1r protein, mouse",T,598462,
,Y,2019-12-03,491673,"Il17r protein, mouse","Il17r protein, mouse",P,566720,,491673,"Il17ra protein, mouse","Il17r protein, mouse",T,566720,
